Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06029000509","Census Tract 5.09, Kern County, California","ACSSF","ca","140","00","0003917",,,,,"06","029",,,"000509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000509","Census Tract 5.09",,,,728,0,0,0,14,0,0,0,0,0,0,34,20,141,66,157,296,0,0,0,1.92,0,0,0,0,0,0,4.67,2.75,19.37,9.07,21.57,40.66
"06029000510","Census Tract 5.10, Kern County, California","ACSSF","ca","140","00","0003918",,,,,"06","029",,,"000510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000510","Census Tract 5.10",,,,1256,48,0,0,0,13,0,0,99,0,5,33,145,208,202,354,149,3.82,0,0,0,1.04,0,0,7.88,0,0.4,2.63,11.54,16.56,16.08,28.18,11.86
"06029000601","Census Tract 6.01, Kern County, California","ACSSF","ca","140","00","0003919",,,,,"06","029",,,"000601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000601","Census Tract 6.01",,,,870,87,144,90,84,90,0,59,13,0,27,28,222,0,0,26,0,10,16.55,10.34,9.66,10.34,0,6.78,1.49,0,3.1,3.22,25.52,0,0,2.99,0
"06029000602","Census Tract 6.02, Kern County, California","ACSSF","ca","140","00","0003920",,,,,"06","029",,,"000602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000602","Census Tract 6.02",,,,774,31,219,17,0,68,217,31,31,17,0,35,30,39,0,39,0,4.01,28.29,2.2,0,8.79,28.04,4.01,4.01,2.2,0,4.52,3.88,5.04,0,5.04,0
"06029000603","Census Tract 6.03, Kern County, California","ACSSF","ca","140","00","0003921",,,,,"06","029",,,"000603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000603","Census Tract 6.03",,,,814,157,107,33,168,71,0,79,0,0,107,33,0,0,59,0,0,19.29,13.14,4.05,20.64,8.72,0,9.71,0,0,13.14,4.05,0,0,7.25,0,0
"06029000701","Census Tract 7.01, Kern County, California","ACSSF","ca","140","00","0003922",,,,,"06","029",,,"000701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000701","Census Tract 7.01",,,,971,79,38,22,20,115,60,46,95,75,68,131,88,81,1,13,39,8.14,3.91,2.27,2.06,11.84,6.18,4.74,9.78,7.72,7,13.49,9.06,8.34,0.1,1.34,4.02
"06029000702","Census Tract 7.02, Kern County, California","ACSSF","ca","140","00","0003923",,,,,"06","029",,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000702","Census Tract 7.02",,,,996,22,42,0,54,17,164,23,16,11,84,86,39,216,98,94,30,2.21,4.22,0,5.42,1.71,16.47,2.31,1.61,1.1,8.43,8.63,3.92,21.69,9.84,9.44,3.01
"06029000800","Census Tract 8, Kern County, California","ACSSF","ca","140","00","0003924",,,,,"06","029",,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000800","Census Tract 8",,,,1534,53,79,39,83,114,74,0,56,186,159,36,299,143,74,97,42,3.46,5.15,2.54,5.41,7.43,4.82,0,3.65,12.13,10.37,2.35,19.49,9.32,4.82,6.32,2.74
"06029000902","Census Tract 9.02, Kern County, California","ACSSF","ca","140","00","0003925",,,,,"06","029",,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000902","Census Tract 9.02",,,,1107,56,97,12,17,119,18,53,56,106,120,76,213,119,45,0,0,5.06,8.76,1.08,1.54,10.75,1.63,4.79,5.06,9.58,10.84,6.87,19.24,10.75,4.07,0,0
"06029000903","Census Tract 9.03, Kern County, California","ACSSF","ca","140","00","0003926",,,,,"06","029",,,"000903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000903","Census Tract 9.03",,,,1309,97,16,42,53,33,48,34,41,35,135,122,248,117,122,117,49,7.41,1.22,3.21,4.05,2.52,3.67,2.6,3.13,2.67,10.31,9.32,18.95,8.94,9.32,8.94,3.74
"06029000904","Census Tract 9.04, Kern County, California","ACSSF","ca","140","00","0003927",,,,,"06","029",,,"000904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000904","Census Tract 9.04",,,,1352,131,36,42,144,41,53,103,95,19,97,133,134,85,46,147,46,9.69,2.66,3.11,10.65,3.03,3.92,7.62,7.03,1.41,7.17,9.84,9.91,6.29,3.4,10.87,3.4
"06029000905","Census Tract 9.05, Kern County, California","ACSSF","ca","140","00","0003928",,,,,"06","029",,,"000905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000905","Census Tract 9.05",,,,814,14,31,28,26,53,34,73,6,8,83,64,157,70,43,42,82,1.72,3.81,3.44,3.19,6.51,4.18,8.97,0.74,0.98,10.2,7.86,19.29,8.6,5.28,5.16,10.07
"06029000906","Census Tract 9.06, Kern County, California","ACSSF","ca","140","00","0003929",,,,,"06","029",,,"000906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000906","Census Tract 9.06",,,,1258,60,59,27,26,12,114,58,41,0,251,212,156,152,47,34,9,4.77,4.69,2.15,2.07,0.95,9.06,4.61,3.26,0,19.95,16.85,12.4,12.08,3.74,2.7,0.72
"06029000907","Census Tract 9.07, Kern County, California","ACSSF","ca","140","00","0003930",,,,,"06","029",,,"000907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000907","Census Tract 9.07",,,,660,31,36,21,0,32,55,9,73,10,37,141,84,23,72,36,0,4.7,5.45,3.18,0,4.85,8.33,1.36,11.06,1.52,5.61,21.36,12.73,3.48,10.91,5.45,0
"06029000908","Census Tract 9.08, Kern County, California","ACSSF","ca","140","00","0003931",,,,,"06","029",,,"000908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000908","Census Tract 9.08",,,,1506,42,39,32,43,55,16,120,123,57,91,112,120,233,200,147,76,2.79,2.59,2.12,2.86,3.65,1.06,7.97,8.17,3.78,6.04,7.44,7.97,15.47,13.28,9.76,5.05
"06029000909","Census Tract 9.09, Kern County, California","ACSSF","ca","140","00","0003932",,,,,"06","029",,,"000909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000909","Census Tract 9.09",,,,862,26,59,10,4,20,40,4,14,37,17,95,99,129,68,121,119,3.02,6.84,1.16,0.46,2.32,4.64,0.46,1.62,4.29,1.97,11.02,11.48,14.97,7.89,14.04,13.81
"06029000911","Census Tract 9.11, Kern County, California","ACSSF","ca","140","00","0003933",,,,,"06","029",,,"000911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000911","Census Tract 9.11",,,,909,113,0,32,76,95,83,62,52,78,19,35,124,0,61,0,79,12.43,0,3.52,8.36,10.45,9.13,6.82,5.72,8.58,2.09,3.85,13.64,0,6.71,0,8.69
"06029000912","Census Tract 9.12, Kern County, California","ACSSF","ca","140","00","0003934",,,,,"06","029",,,"000912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000912","Census Tract 9.12",,,,1174,55,179,108,0,190,0,84,0,52,40,149,162,23,21,111,0,4.68,15.25,9.2,0,16.18,0,7.16,0,4.43,3.41,12.69,13.8,1.96,1.79,9.45,0
"06029000913","Census Tract 9.13, Kern County, California","ACSSF","ca","140","00","0003935",,,,,"06","029",,,"000913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000913","Census Tract 9.13",,,,1046,0,0,0,0,0,0,0,18,15,0,137,294,147,74,248,113,0,0,0,0,0,0,0,1.72,1.43,0,13.1,28.11,14.05,7.07,23.71,10.8
"06029000914","Census Tract 9.14, Kern County, California","ACSSF","ca","140","00","0003936",,,,,"06","029",,,"000914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000914","Census Tract 9.14",,,,1099,8,6,25,0,68,12,0,185,23,14,84,322,109,83,78,82,0.73,0.55,2.27,0,6.19,1.09,0,16.83,2.09,1.27,7.64,29.3,9.92,7.55,7.1,7.46
"06029001001","Census Tract 10.01, Kern County, California","ACSSF","ca","140","00","0003937",,,,,"06","029",,,"001001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029001001","Census Tract 10.01",,,,1021,65,0,60,80,26,12,37,0,36,12,48,202,140,91,80,132,6.37,0,5.88,7.84,2.55,1.18,3.62,0,3.53,1.18,4.7,19.78,13.71,8.91,7.84,12.93
"06029001002","Census Tract 10.02, Kern County, California","ACSSF","ca","140","00","0003938",,,,,"06","029",,,"001002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029001002","Census Tract 10.02",,,,828,98,64,155,34,0,29,24,0,11,77,70,108,93,60,5,0,11.84,7.73,18.72,4.11,0,3.5,2.9,0,1.33,9.3,8.45,13.04,11.23,7.25,0.6,0
